Transaction_ID,Date,Inventory_ID,Quantity_Consumed,Department,Staff_ID,Shift,Consumption_Reason,Remaining_Stock,Batch_Lot
TXN000001,08-08-2025,INV00237,4,General,STF6148,Afternoon,Emergency Use,179,LOT56834
TXN000002,21-08-2025,INV00345,6,ER,STF4917,Afternoon,Routine Use,383,LOT43634
TXN000003,04-08-2025,INV00133,16,Pediatrics,STF6872,Morning,Emergency Use,9,LOT67153
TXN000004,06-08-2025,INV00290,14,General,STF4942,Afternoon,Emergency Use,16,LOT45633
TXN000005,30-08-2025,INV00242,5,ICU,STF5557,Afternoon,Emergency Use,186,LOT58000
TXN000006,20-08-2025,INV00393,16,ER,STF6382,Afternoon,Routine Use,357,LOT79569
TXN000007,26-08-2025,INV00230,4,ER,STF8709,Night,Emergency Use,315,LOT23515
TXN000008,13-08-2025,INV00161,3,ER,STF9616,Morning,Routine Use,164,LOT72563
TXN000009,23-08-2025,INV00141,2,ER,STF5626,Night,Emergency Use,84,LOT69771
TXN000010,06-08-2025,INV00123,13,ER,STF9565,Morning,Routine Use,170,LOT53467
TXN000011,12-08-2025,INV00231,3,Pediatrics,STF4765,Afternoon,Routine Use,400,LOT48181
TXN000012,13-08-2025,INV00076,7,Surgery,STF1508,Afternoon,Routine Use,59,LOT17572
TXN000013,18-08-2025,INV00289,15,Surgery,STF2841,Night,Emergency Use,93,LOT42327
TXN000014,07-08-2025,INV00463,17,Pediatrics,STF6832,Afternoon,Routine Use,257,LOT88675
TXN000015,17-08-2025,INV00474,19,ER,STF6575,Night,Emergency Use,137,LOT80476
TXN000016,25-08-2025,INV00276,20,ER,STF5767,Afternoon,Routine Use,374,LOT42791
TXN000017,26-08-2025,INV00278,12,ER,STF9680,Morning,Emergency Use,471,LOT13833
TXN000018,21-08-2025,INV00390,1,General,STF3870,Night,Routine Use,188,LOT89608
TXN000019,13-08-2025,INV00059,13,Surgery,STF8743,Afternoon,Emergency Use,223,LOT68415
TXN000020,08-08-2025,INV00494,17,ICU,STF3682,Afternoon,Routine Use,116,LOT20394
TXN000021,13-08-2025,INV00032,12,ER,STF4407,Morning,Emergency Use,431,LOT63775
TXN000022,15-08-2025,INV00362,17,ICU,STF9450,Morning,Routine Use,256,LOT92883
TXN000023,08-08-2025,INV00180,17,General,STF7309,Morning,Emergency Use,347,LOT61606
TXN000024,14-08-2025,INV00131,12,Surgery,STF1671,Night,Routine Use,265,LOT91739
TXN000025,30-08-2025,INV00419,9,General,STF1354,Night,Routine Use,364,LOT44501
TXN000026,14-08-2025,INV00428,10,ICU,STF7747,Afternoon,Emergency Use,11,LOT61268
TXN000027,24-08-2025,INV00391,18,Pediatrics,STF2883,Morning,Routine Use,315,LOT70399
TXN000028,26-08-2025,INV00105,5,Surgery,STF9345,Morning,Routine Use,71,LOT26511
TXN000029,21-08-2025,INV00251,4,ICU,STF2728,Night,Emergency Use,221,LOT21579
TXN000030,28-08-2025,INV00474,1,Pediatrics,STF5366,Night,Emergency Use,386,LOT56468
TXN000031,03-08-2025,INV00251,8,Pediatrics,STF9263,Morning,Emergency Use,270,LOT72617
TXN000032,05-08-2025,INV00487,6,Pediatrics,STF3492,Morning,Routine Use,490,LOT95662
TXN000033,11-08-2025,INV00411,10,Pediatrics,STF7318,Night,Routine Use,487,LOT92147
TXN000034,25-08-2025,INV00168,5,Pediatrics,STF6802,Morning,Routine Use,97,LOT28512
TXN000035,10-08-2025,INV00428,11,ER,STF8435,Night,Emergency Use,304,LOT52295
TXN000036,18-08-2025,INV00391,15,ICU,STF2025,Afternoon,Routine Use,140,LOT47651
TXN000037,10-08-2025,INV00324,3,Surgery,STF9324,Morning,Emergency Use,428,LOT50402
TXN000038,23-08-2025,INV00089,17,Pediatrics,STF1296,Night,Emergency Use,326,LOT53851
TXN000039,05-08-2025,INV00382,11,ER,STF9885,Morning,Emergency Use,178,LOT50389
TXN000040,02-08-2025,INV00424,6,General,STF9094,Night,Emergency Use,154,LOT15086
TXN000041,02-08-2025,INV00282,16,ER,STF3977,Night,Routine Use,434,LOT99723
TXN000042,25-08-2025,INV00051,9,Surgery,STF8319,Morning,Routine Use,230,LOT69921
TXN000043,16-08-2025,INV00183,16,ER,STF6232,Morning,Routine Use,271,LOT22275
TXN000044,19-08-2025,INV00146,8,ICU,STF5441,Afternoon,Emergency Use,47,LOT83424
TXN000045,08-08-2025,INV00043,12,General,STF7050,Afternoon,Routine Use,31,LOT93496
TXN000046,20-08-2025,INV00358,11,Pediatrics,STF7535,Morning,Routine Use,118,LOT78486
TXN000047,08-08-2025,INV00063,12,Pediatrics,STF8378,Night,Routine Use,256,LOT89692
TXN000048,14-08-2025,INV00014,8,ICU,STF9709,Afternoon,Routine Use,264,LOT75527
TXN000049,10-08-2025,INV00254,11,General,STF5735,Morning,Routine Use,389,LOT82201
TXN000050,04-08-2025,INV00461,10,ICU,STF6704,Morning,Routine Use,379,LOT78329
TXN000051,11-08-2025,INV00415,9,General,STF4713,Morning,Emergency Use,428,LOT11175
TXN000052,28-08-2025,INV00114,18,General,STF6167,Afternoon,Routine Use,333,LOT47628
TXN000053,16-08-2025,INV00307,4,ER,STF4479,Night,Emergency Use,379,LOT71060
TXN000054,17-08-2025,INV00035,10,ICU,STF1288,Night,Emergency Use,57,LOT63225
TXN000055,14-08-2025,INV00009,6,ER,STF8945,Afternoon,Routine Use,121,LOT10654
TXN000056,07-08-2025,INV00009,8,ER,STF5667,Night,Routine Use,110,LOT51985
TXN000057,16-08-2025,INV00049,19,ICU,STF7939,Afternoon,Emergency Use,16,LOT62970
TXN000058,15-08-2025,INV00288,11,ER,STF5529,Morning,Routine Use,35,LOT29828
TXN000059,28-08-2025,INV00348,9,Pediatrics,STF5060,Night,Emergency Use,115,LOT54821
TXN000060,06-08-2025,INV00170,1,General,STF7837,Night,Routine Use,322,LOT24270
TXN000061,28-08-2025,INV00395,4,ICU,STF7849,Afternoon,Routine Use,161,LOT11886
TXN000062,01-08-2025,INV00439,15,ER,STF7132,Night,Routine Use,37,LOT82754
TXN000063,27-08-2025,INV00446,9,Surgery,STF1129,Morning,Emergency Use,59,LOT75291
TXN000064,10-08-2025,INV00295,19,ICU,STF4461,Afternoon,Emergency Use,475,LOT36681
TXN000065,13-08-2025,INV00401,14,Surgery,STF2419,Afternoon,Routine Use,32,LOT60853
TXN000066,31-08-2025,INV00041,5,General,STF8463,Night,Routine Use,409,LOT12187
TXN000067,24-08-2025,INV00321,8,ER,STF6480,Morning,Emergency Use,50,LOT76564
TXN000068,30-08-2025,INV00081,11,ICU,STF5327,Night,Routine Use,196,LOT28082
TXN000069,18-08-2025,INV00258,16,ER,STF6227,Afternoon,Emergency Use,413,LOT82573
TXN000070,14-08-2025,INV00133,3,General,STF3033,Night,Routine Use,103,LOT26521
TXN000071,30-08-2025,INV00294,10,Pediatrics,STF8129,Afternoon,Routine Use,329,LOT42083
