Invoice_ID,Vendor_ID,Inventory_ID,Purchase_Date,Quantity,Unit_Cost,Total_Cost,Payment_Status,Account_Code,Delivery_Date
INVF000001,VEND005,INV00462,16-08-2025,38,11,418,Pending,ACCT835,17-09-2025
INVF000002,VEND019,INV00357,05-08-2025,158,5,790,Pending,ACCT317,25-09-2025
INVF000003,VEND008,INV00231,14-08-2025,200,6,1200,Paid,ACCT661,16-09-2025
INVF000004,VEND008,INV00314,17-08-2025,155,6,930,Overdue,ACCT520,24-09-2025
INVF000005,VEND007,INV00490,31-08-2025,22,9,198,Paid,ACCT123,23-09-2025
INVF000006,VEND015,INV00137,30-08-2025,130,13,1690,Overdue,ACCT852,07-09-2025
INVF000007,VEND011,INV00277,08-08-2025,106,13,1378,Overdue,ACCT108,11-09-2025
INVF000008,VEND004,INV00357,02-08-2025,25,8,200,Paid,ACCT337,11-09-2025
INVF000009,VEND001,INV00164,04-08-2025,12,3,36,Overdue,ACCT631,08-09-2025
INVF000010,VEND001,INV00367,13-08-2025,127,2,254,Overdue,ACCT181,01-09-2025
INVF000011,VEND001,INV00360,04-08-2025,93,6,558,Overdue,ACCT400,05-09-2025
INVF000012,VEND013,INV00101,21-08-2025,174,14,2436,Overdue,ACCT401,24-09-2025
INVF000013,VEND012,INV00355,19-08-2025,108,13,1404,Pending,ACCT758,12-09-2025
INVF000014,VEND004,INV00322,16-08-2025,141,13,1833,Pending,ACCT845,24-09-2025
INVF000015,VEND013,INV00481,09-08-2025,95,14,1330,Overdue,ACCT374,11-09-2025
INVF000016,VEND016,INV00259,25-08-2025,131,11,1441,Pending,ACCT183,07-09-2025
INVF000017,VEND002,INV00348,15-08-2025,153,5,765,Pending,ACCT716,29-09-2025
INVF000018,VEND008,INV00006,11-08-2025,115,16,1840,Pending,ACCT941,07-09-2025
INVF000019,VEND009,INV00161,21-08-2025,188,17,3196,Overdue,ACCT283,12-09-2025
INVF000020,VEND012,INV00450,20-08-2025,116,13,1508,Pending,ACCT708,06-09-2025
INVF000021,VEND014,INV00332,30-08-2025,182,17,3094,Overdue,ACCT715,14-09-2025
INVF000022,VEND008,INV00009,24-08-2025,52,13,676,Overdue,ACCT456,13-09-2025
INVF000023,VEND018,INV00252,02-08-2025,37,19,703,Pending,ACCT973,18-09-2025
INVF000024,VEND012,INV00153,31-08-2025,98,14,1372,Overdue,ACCT135,12-09-2025
INVF000025,VEND011,INV00175,16-08-2025,151,9,1359,Paid,ACCT664,03-09-2025
INVF000026,VEND019,INV00392,11-08-2025,200,7,1400,Overdue,ACCT457,03-09-2025
INVF000027,VEND001,INV00486,05-08-2025,156,3,468,Paid,ACCT300,29-09-2025
INVF000028,VEND019,INV00173,12-08-2025,95,12,1140,Paid,ACCT226,07-09-2025
INVF000029,VEND007,INV00037,08-08-2025,199,3,597,Paid,ACCT294,04-09-2025
INVF000030,VEND006,INV00073,19-08-2025,31,17,527,Paid,ACCT540,14-09-2025
INVF000031,VEND008,INV00458,18-08-2025,32,2,64,Paid,ACCT368,02-09-2025
INVF000032,VEND008,INV00137,02-08-2025,42,14,588,Overdue,ACCT944,14-09-2025
INVF000033,VEND016,INV00191,28-08-2025,196,20,3920,Paid,ACCT729,29-09-2025
INVF000034,VEND020,INV00282,01-08-2025,140,6,840,Pending,ACCT542,05-09-2025
INVF000035,VEND012,INV00355,26-08-2025,18,14,252,Paid,ACCT107,11-09-2025
INVF000036,VEND001,INV00222,01-08-2025,126,17,2142,Paid,ACCT140,24-09-2025
INVF000037,VEND001,INV00170,27-08-2025,85,13,1105,Paid,ACCT137,29-09-2025
INVF000038,VEND001,INV00481,15-08-2025,21,2,42,Pending,ACCT309,02-09-2025
INVF000039,VEND019,INV00033,13-08-2025,56,16,896,Paid,ACCT697,30-09-2025
INVF000040,VEND001,INV00091,12-08-2025,67,3,201,Pending,ACCT176,19-09-2025
INVF000041,VEND017,INV00380,30-08-2025,123,19,2337,Paid,ACCT744,15-09-2025
INVF000042,VEND015,INV00431,06-08-2025,89,2,178,Overdue,ACCT601,15-09-2025
INVF000043,VEND015,INV00150,25-08-2025,17,3,51,Pending,ACCT552,12-09-2025
INVF000044,VEND010,INV00232,23-08-2025,48,3,144,Pending,ACCT990,06-09-2025
INVF000045,VEND006,INV00048,13-08-2025,118,7,826,Paid,ACCT938,12-09-2025
INVF000046,VEND016,INV00147,16-08-2025,117,12,1404,Pending,ACCT502,17-09-2025
INVF000047,VEND011,INV00149,29-08-2025,14,2,28,Paid,ACCT392,19-09-2025
INVF000048,VEND011,INV00209,02-08-2025,85,20,1700,Paid,ACCT829,03-09-2025
INVF000049,VEND012,INV00238,14-08-2025,39,6,234,Pending,ACCT632,06-09-2025
INVF000050,VEND020,INV00223,02-08-2025,120,17,2040,Pending,ACCT541,06-09-2025
INVF000051,VEND013,INV00025,13-08-2025,137,6,822,Pending,ACCT199,29-09-2025
INVF000052,VEND018,INV00221,05-08-2025,131,1,131,Pending,ACCT345,09-09-2025
INVF000053,VEND015,INV00429,27-08-2025,82,9,738,Pending,ACCT212,25-09-2025
INVF000054,VEND019,INV00028,07-08-2025,45,4,180,Overdue,ACCT880,24-09-2025
INVF000055,VEND007,INV00104,06-08-2025,88,4,352,Pending,ACCT925,03-09-2025
INVF000056,VEND016,INV00277,12-08-2025,53,18,954,Overdue,ACCT381,22-09-2025
INVF000057,VEND014,INV00137,08-08-2025,163,18,2934,Paid,ACCT220,10-09-2025
INVF000058,VEND013,INV00481,19-08-2025,136,11,1496,Pending,ACCT774,19-09-2025
INVF000059,VEND011,INV00461,31-08-2025,173,7,1211,Pending,ACCT350,11-09-2025
INVF000060,VEND016,INV00149,09-08-2025,21,6,126,Overdue,ACCT688,30-09-2025
INVF000061,VEND011,INV00420,10-08-2025,55,11,605,Overdue,ACCT429,14-09-2025
INVF000062,VEND003,INV00272,07-08-2025,64,12,768,Overdue,ACCT998,21-09-2025
INVF000063,VEND016,INV00157,08-08-2025,156,10,1560,Pending,ACCT897,02-09-2025
INVF000064,VEND012,INV00197,02-08-2025,59,4,236,Pending,ACCT300,07-09-2025
INVF000065,VEND019,INV00074,07-08-2025,47,3,141,Overdue,ACCT412,05-09-2025
INVF000066,VEND006,INV00290,15-08-2025,141,14,1974,Overdue,ACCT273,14-09-2025
INVF000067,VEND004,INV00041,22-08-2025,91,10,910,Pending,ACCT199,18-09-2025
INVF000068,VEND008,INV00472,11-08-2025,95,16,1520,Overdue,ACCT105,17-09-2025
INVF000069,VEND002,INV00464,25-08-2025,138,1,138,Overdue,ACCT227,14-09-2025
INVF000070,VEND014,INV00001,10-08-2025,178,2,356,Pending,ACCT341,27-09-2025
INVF000071,VEND006,INV00326,11-08-2025,139,15,2085,Paid,ACCT655,22-09-2025
INVF000072,VEND013,INV00278,08-08-2025,70,17,1190,Paid,ACCT343,02-09-2025
INVF000073,VEND007,INV00459,06-08-2025,19,5,95,Pending,ACCT440,11-09-2025
INVF000074,VEND008,INV00498,25-08-2025,142,7,994,Overdue,ACCT743,30-09-2025
INVF000075,VEND017,INV00437,15-08-2025,103,12,1236,Pending,ACCT396,01-09-2025
INVF000076,VEND012,INV00324,18-08-2025,178,18,3204,Paid,ACCT536,27-09-2025
INVF000077,VEND019,INV00268,10-08-2025,175,8,1400,Pending,ACCT271,09-09-2025
INVF000078,VEND012,INV00422,02-08-2025,115,12,1380,Pending,ACCT637,20-09-2025
INVF000079,VEND004,INV00204,18-08-2025,114,8,912,Overdue,ACCT133,24-09-2025
INVF000080,VEND020,INV00089,18-08-2025,159,6,954,Paid,ACCT631,05-09-2025
INVF000081,VEND009,INV00258,17-08-2025,116,7,812,Pending,ACCT232,17-09-2025
INVF000082,VEND001,INV00401,25-08-2025,147,11,1617,Paid,ACCT461,05-09-2025
INVF000083,VEND016,INV00373,15-08-2025,198,15,2970,Pending,ACCT201,22-09-2025
INVF000084,VEND008,INV00333,08-08-2025,113,18,2034,Overdue,ACCT606,03-09-2025
