Vendor_ID,Vendor_Name,Contact_Number,Default_Lead_Time_days,Region,Vendor_Rating
VEND001,Vendor_001,+18078831474,3,North,4.1
VEND002,Vendor_002,+11860457783,9,South,3.8
VEND003,Vendor_003,+19225216765,6,East,4.5
VEND004,Vendor_004,+16650313427,8,East,3.2
VEND005,Vendor_005,+18227074737,5,Central,1.9
VEND006,Vendor_006,+13904795818,6,Central,3.8
VEND007,Vendor_007,+14482402689,2,Central,1.2
VEND008,Vendor_008,+11569858524,8,Central,1.3
VEND009,Vendor_009,+11279741796,9,South,5.0
VEND010,Vendor_010,+15201712645,3,North,2.9
VEND011,Vendor_011,+19576273983,10,East,4.8
VEND012,Vendor_012,+17040490343,5,East,3.9
VEND013,Vendor_013,+18483914817,6,West,1.1
VEND014,Vendor_014,+15103010375,4,West,3.5
VEND015,Vendor_015,+16270052086,4,East,2.1
VEND016,Vendor_016,+18225712860,4,South,4.1
VEND017,Vendor_017,+17794455680,2,West,1.6
VEND018,Vendor_018,+18214544480,10,West,2.9
VEND019,Vendor_019,+15982076895,9,West,4.7
VEND020,Vendor_020,+18654828876,7,South,4.4
