transaction_id,date,inventory_id,quantity_consumed,department,staff_id,shift,consumption_reason,remaining_stock,batch_lot
T0001_000,2025-09-02,INV0001,1,Dept3,STF001,Night,Surgery,21,B0001_000
T0001_001,2025-09-03,INV0001,3,Dept1,STF027,Night,Routine,18,B0001_001
T0001_002,2025-09-04,INV0001,2,Dept5,STF034,Morning,Surgery,16,B0001_002
T0001_003,2025-09-05,INV0001,1,Dept4,STF014,Night,Treatment,15,B0001_003
T0001_004,2025-09-06,INV0001,2,Dept3,STF022,Night,Surgery,13,B0001_004
T0001_005,2025-09-07,INV0001,2,Dept1,STF049,Evening,Routine,11,B0001_005
T0001_006,2025-09-08,INV0001,5,Dept2,STF048,Evening,Emergency,6,B0001_006
T0001_007,2025-09-09,INV0001,3,Dept4,STF027,Evening,Emergency,3,B0001_007
T0001_008,2025-09-10,INV0001,0,Dept1,STF035,Night,Treatment,3,B0001_008
T0001_009,2025-09-11,INV0001,0,Dept3,STF043,Evening,Emergency,3,B0001_009
T0001_010,2025-09-12,INV0001,0,Dept1,STF019,Night,Surgery,3,B0001_010
T0001_011,2025-09-13,INV0001,1,Dept2,STF025,Morning,Surgery,2,B0001_011
T0001_012,2025-09-14,INV0001,0,Dept4,STF005,Night,Surgery,2,B0001_012
T0001_013,2025-09-15,INV0001,0,Dept3,STF017,Morning,Emergency,2,B0001_013
T0001_014,2025-09-16,INV0001,1,Dept4,STF042,Morning,Treatment,1,B0001_014
T0001_015,2025-09-17,INV0001,1,Dept4,STF047,Night,Treatment,0,B0001_015
T0001_016,2025-09-18,INV0001,0,Dept2,STF032,Night,Surgery,0,B0001_016
T0001_017,2025-09-19,INV0001,0,Dept3,STF027,Evening,Treatment,0,B0001_017
T0001_018,2025-09-20,INV0001,0,Dept2,STF020,Evening,Treatment,0,B0001_018
T0001_019,2025-09-21,INV0001,0,Dept1,STF019,Evening,Emergency,0,B0001_019
T0001_020,2025-09-22,INV0001,0,Dept1,STF006,Night,Surgery,0,B0001_020
T0001_021,2025-09-23,INV0001,0,Dept3,STF027,Morning,Surgery,0,B0001_021
