invoice_id,vendor_id,inventory_id,purchase_date,quantity,unit_cost,total_cost,payment_status,account_code,delivery_date
INVF0001,VEND008,INV0001,2025-10-31,81,48.37,3917.97,Paid,AC179,2025-11-14
INVF0002,VEND011,INV0002,2025-09-28,12,29.2,350.4,Paid,AC104,2025-11-26
INVF0003,VEND016,INV0003,2025-11-28,92,11.8,1085.6,Paid,AC995,2025-11-10
INVF0004,VEND001,INV0004,2025-11-24,79,12.25,967.75,Pending,AC481,2025-11-25
INVF0005,VEND013,INV0005,2025-11-07,27,16.73,451.71,Paid,AC590,2025-11-21
INVF0006,VEND001,INV0006,2025-09-27,63,6.72,423.36,Paid,AC223,2025-11-24
INVF0007,VEND020,INV0007,2025-11-13,50,29.68,1484.0,Pending,AC208,2025-11-11
INVF0008,VEND011,INV0008,2025-09-04,82,30.92,2535.44,Pending,AC692,2025-11-14
INVF0009,VEND019,INV0009,2025-10-16,15,27.32,409.8,Pending,AC521,2025-11-28
INVF0010,VEND013,INV0010,2025-10-18,23,15.96,367.08,Pending,AC372,2025-11-19
INVF0011,VEND005,INV0011,2025-09-26,73,1.52,110.96,Pending,AC206,2025-11-04
INVF0012,VEND004,INV0012,2025-09-17,90,3.89,350.1,Paid,AC916,2025-11-23
INVF0013,VEND013,INV0013,2025-09-24,82,25.15,2062.3,Paid,AC448,2025-11-26
INVF0014,VEND008,INV0014,2025-09-04,71,47.21,3351.91,Paid,AC106,2025-11-23
INVF0015,VEND006,INV0015,2025-10-19,46,28.64,1317.44,Paid,AC520,2025-11-27
INVF0016,VEND003,INV0016,2025-11-03,88,46.8,4118.4,Paid,AC571,2025-11-30
INVF0017,VEND002,INV0017,2025-09-06,27,19.57,528.39,Pending,AC987,2025-11-28
INVF0018,VEND004,INV0018,2025-09-07,11,14.47,159.17,Pending,AC247,2025-11-02
INVF0019,VEND003,INV0019,2025-09-18,79,35.26,2785.54,Paid,AC367,2025-11-23
INVF0020,VEND002,INV0020,2025-10-21,19,2.81,53.39,Pending,AC340,2025-11-20
INVF0021,VEND017,INV0021,2025-09-19,12,39.82,477.84,Pending,AC608,2025-11-02
INVF0022,VEND003,INV0022,2025-10-28,19,33.3,632.7,Pending,AC626,2025-11-09
INVF0023,VEND003,INV0023,2025-10-16,45,11.79,530.55,Pending,AC689,2025-11-01
INVF0024,VEND014,INV0024,2025-11-20,59,16.34,964.06,Pending,AC881,2025-11-26
INVF0025,VEND008,INV0025,2025-09-05,79,6.02,475.58,Pending,AC906,2025-11-19
